home_team,away_team,home_goals,away_goals,home_shots,away_shots,home_shot_efficiency,away_shot_efficiency,home_faceoffs,away_faceoffs,home_faceoff_efficiency,away_faceoff_efficiency,attendance,capacity,attendance_rate,home_win,match_url
ЦСКА,Металлург Мг,6,2,34,27,0.17647058823529413,0.07407407407407407,29,31,0.48333333333333334,0.5166666666666667,7337,12680,0.578627760252366,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1053779/
Автомобилист,Локомотив,4,2,26,20,0.15384615384615385,0.1,35,25,0.5833333333333334,0.4166666666666667,2869,5570,0.51508078994614,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1053781/
Трактор,Северсталь,2,4,30,18,0.06666666666666667,0.2222222222222222,24,20,0.5454545454545454,0.45454545454545453,5820,7500,0.776,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1053783/
Куньлунь Ред Стар,Адмирал,3,1,22,30,0.13636363636363635,0.03333333333333333,40,17,0.7017543859649122,0.2982456140350877,490,7000,0.07,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1053785/
Спартак,Амур,3,2,29,30,0.10344827586206896,0.06666666666666667,28,32,0.4666666666666667,0.5333333333333333,2512,12724,0.19742219427852875,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1053787/
ХК Сочи,Сибирь,0,2,31,29,0.0,0.06896551724137931,22,36,0.3793103448275862,0.6206896551724138,3048,12000,0.254,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1053789/
Динамо М,Ак Барс,2,0,25,24,0.08,0.0,24,24,0.5,0.5,5432,11500,0.4723478260869565,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1053795/
Витязь,Авангард,3,2,22,39,0.13636363636363635,0.05128205128205128,25,23,0.5208333333333334,0.4791666666666667,5700,5525,1.0316742081447965,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1053793/
Динамо Мн,Барыс,4,3,31,25,0.12903225806451613,0.12,30,41,0.4225352112676056,0.5774647887323944,13805,15266,0.9042971308790777,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1053801/
СКА,Салават Юлаев,0,0,40,28,0.0,0.0,36,20,0.6428571428571429,0.35714285714285715,12228,12500,0.97824,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1053797/
ЦСКА,Нефтехимик,0,0,37,23,0.0,0.0,42,27,0.6086956521739131,0.391304347826087,4100,12680,0.32334384858044163,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1053799/
Торпедо,Металлург Мг,4,5,32,57,0.125,0.08771929824561403,26,37,0.4126984126984127,0.5873015873015873,5500,5600,0.9821428571428571,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1053791/
